total_reward,negative_reward,tria_length
11.5,-6.5,19
-4.5,-10.5,21
5,-4.5,8
-3,-11,26
-4.5,-10.5,26
-3.5,-11.5,26
11,-9,21
-3,-15,36
0,-12,26
-2,-14,31
11,-6.5,17
-2,-10,21
12.5,-7.5,26
-5,-11,21
-0.5,-10.5,26
-3.5,-13.5,26
-9.5,-11.5,21
-1.5,-13.5,36
-10,-20,41
-6,-16,31
4.5,-5.5,21
-6,-16,31
-6.5,-14.5,31
-3.5,-17.5,41
8.5,-11.5,31
-8,-10,21
-1,-9,21
1,-7,21
11,-5,12
-1.5,-13.5,36
-3.5,-11.5,31
16.5,-1.5,11
-0.5,-12.5,26
-10,-16,36
18,-18,46
8.5,-15.5,46
3,-18.5,42
-5.5,-13.5,26
-0.5,-4.5,21
-7,-11,21
-7,-17,41
-3,-9,21
-6,-10,21
-10.5,-16.5,26
7,-13,32
-6.5,-12.5,26
6.5,-13.5,36
-9,-11,26
13,-3,8
-5,-11,21
-1.5,-9.5,21
-5,-23,51
2,-10,26
13,-9,21
-5.5,-19.5,41
-2.5,-12.5,31
-5.5,-9.5,21
-9.5,-17.5,31
-4,-14,31
-10,-20,46
-3,-11,26
4.5,-9.5,26
-2.5,-12.5,31
7,-9,36
-8.5,-10.5,21
1,-7,21
12,-14,35
6,-10,31
11,-3,7
-1,-9,21
-3,-13,31
10.5,-3,10
15,-1,6
-3,-9,21
7,-11,36
-4,-10,26
-9.5,-19.5,36
-5,-11,26
-5,-11,26
4,-12,26
18.5,-5.5,19
20.5,-1.5,10
7,-13,41
-7,-17,36
0.5,-11.5,26
11.5,-2.5,5
2,-10,26
8,-10,18
-2.5,-8.5,21
-8.5,-14.5,26
-9,-17,36
-17.5,-23.5,46
-15.5,-17.5,26
-5.5,-19.5,46
-5,-15,36
-6,-14,26
1,-13,36
-1.5,-9.5,26
-15,-23,46
13,-5,13